Frequency,Word
5230,
1873,bacon
1750,chicken
1344,juice
1237,beef
1146,cream
1129,green
1109,cheese
1008,pork
970,diced
783,sausage
757,bread
737,potato
718,beans
715,creamer
712,milk
686,tomato
675,broccoli
664,sauce
631,ground
620,orange
610,salad
609,cottage
590,banana
568,fruit
566,egg
563,apple
560,mic
528,i
523,biscuit
516,peaches
511,yogurt
511,ham
509,patty
495,toast
479,loin
465,ot
464,spinach
456,nectar
456,bean
447,mix
447,french
443,rice
439,roll
438,sour
428,onion
419,garlic
414,tilapia
404,butter
399,marinara
397,brown
396,turkey
395,cucumber
395,applesauce
385,tea
384,liquid
383,mayo
382,water
376,paper
365,cocktail
362,carrots
361,sugar
361,corn
354,non
348,pie
346,base
343,jelly
339,honey
334,cranberry
329,lettuce
326,lemonade
322,peach
322,carrot
320,capri
313,napkin
309,sherbet
308,coffee
304,oil
304,breast
301,cup
300,pears
298,lances
292,eggs
290,pancake
288,zucchini
288,wheat
284,tuna
280,heavy
279,sliced
279,gravy
272,napkins
271,danish
269,mandarin
264,pot
263,ranch
261,pic
261,oatmeal
259,celery
257,chop
255,cabbage
247,copy
244,peas
243,pineapple
243,cauliflower
242,meatball
237,roast
237,flour
235,pa
234,tissue
230,dinner
229,watermelon
228,pepper
227,oz
226,meatballs
226,cake
221,grits
215,muffin
213,shell
212,bun
209,rolls
208,coleslaw
207,pancakes
207,pan
206,half
201,mashed
198,salmon
197,pam
197,dyed
195,omelet
193,peanut
190,dice
189,ketchup
189,cups
185,steak
184,wipes
182,potatoes
179,raisin
178,strawberry
178,lemon
178,asparagus
177,white
177,pear
175,yams
174,yam
174,powder
172,topping
172,prune
170,red
169,tartar
168,straws
167,soup
166,croissant
165,placemat
162,american
161,thigh
161,hamburger
161,english
159,oranges
155,fry
155,cheddar
154,strips
153,baked
152,bananas
151,jam
151,NON
150,stew
149,vanilla
149,margarine
147,ping
142,yellow
142,link
142,ice
141,his
139,cornbread
138,fresh
138,bleach
137,grape
136,shredded
134,waffle
133,and
131,chips
129,ravioli
128,slaw
128,italian
127,tomatoes
126,tropical
125,mah
124,thickened
124,salisbury
120,chip
119,spoons
118,power
118,cod
117,solid
117,kleenex
117,coating
115,sweet
113,hot
112,tender
111,of
110,cocoa
110,bran
110,biscuits
108,syrup
108,strawberries
107,melatonin
107,med
107,foam
106,dressing
106,blend
105,texas
104,grapes
103,whipped
103,pizza
103,pearl
102,catfish
100,foil
99,wash
99,veg
99,liner
97,pea
97,dreamers
97,baby
96,pudding
96,noodle
95,spaghetti
94,slice
94,flounder
93,shrimp
93,cantaloupe
93,bro
93,breadstick
92,gloves
90,pollock
89,puree
89,leaf
88,romaine
88,punch
88,mushroom
86,paw
86,honeydew
86,can
86,beets
86,arm
85,tom
85,cracker
84,squash
84,relish
84,meds
84,cucumbers
84,brussel
84,bronc
83,mash
83,marina
83,CHICKEN
81,mustard
81,chocolate
80,yeast
80,tissues
80,lancet
80,frank
80,apples
79,meat
79,macaroni
79,graham
79,container
77,pulled
77,hash
77,fit
77,alcohol
76,spray
75,whip
75,waffles
75,salsa
75,iceberg
74,salt
74,hoagie
74,fish
72,trash
71,test
71,straw
71,shampoo
71,grapefruit
71,cut
71,bag
69,tenders
69,pinto
69,lids
69,crackers
69,BACON
68,swiss
68,levity
68,cherry
68,Bacon
67,film
67,fig
66,donut
65,towel
63,spring
63,oats
63,blueberry
63,bags
62,vegetable
62,top
62,stewed
62,pass
62,okra
62,lotion
62,dog
62,country
61,toilet
61,oreo
61,onions
61,al
60,shortening
60,razors
60,links
60,crab
60,GREEN
59,mixed
59,lid
59,ginger
58,shred
58,blue
57,resource
57,re
57,mouthwash
57,elbow
57,bologna
56,round
56,rings
56,ring
56,mica
56,greens
56,dawn
56,burger
55,towels
55,meal
54,spoon
54,patties
54,cutlery
53,kale
53,collard
52,pecan
52,grit
52,fried
52,buttermilk
52,be
52,basin
52,ale
51,razor
51,franks
50,veal
50,sharps
50,sanitizer
50,saltine
50,pit
50,magic
50,lynx
50,hard
50,dough
50,buns
50,black
49,tater
49,idaho
49,DICED
48,sauerkraut
48,pearls
48,mav
48,assure
47,cry
47,JUICE
46,toothpaste
46,promise
46,prep
46,peppers
45,way
45,brownie
45,a
44,pimento
44,lima
44,bagel
44,CREAMER
43,hush
43,fudge
42,whole
42,soy
42,silver
42,liners
42,diet
41,tenderloin
41,pink
41,pill
41,parm
41,my
41,kiwi
41,beet
40,lasagna
40,flakes
40,fantastic
39,parsley
39,food
39,cinnamon
38,wax
38,puff
38,prostate
38,mark
38,decaf
38,cornmeal
38,chops
38,CHEESE
38,BEEF
38,BEANS
37,saline
37,pum
37,mozzarella
37,kielbasa
37,fritter
37,bulk
37,bell
37,PORK
36,vinegar
36,thick
36,shaving
36,rib
36,pound
36,olive
36,oat
36,leo
36,CREAM
35,polish
35,pasta
35,lie
35,humidifier
35,ensure
35,cilantro
35,RICE
34,underpass
34,syringe
34,it
34,hinge
34,club
34,Chicken
34,CAPRI
33,vegetables
33,turnip
33,rye
33,pads
33,noodles
33,muffins
33,lactose
33,bar
33,BROCCOLI
33,BREAD
32,skim
32,silverware
32,place
32,mushrooms
32,frosted
32,filling
32,boiled
32,CARROTS
31,wild
31,prunes
31,parmesan
31,fajita
31,drink
31,do
30,wedge
30,syringes
30,sprouts
30,soap
30,pang
30,oyster
30,negro
30,lemons
30,leg
30,cobbler
30,SAUSAGE
30,HAM
30,Green
30,FRUIT
30,Diced
29,treat
29,mo
29,insulin
29,glove
29,cube
29,clam
29,SAUCE
29,MILK
29,BISCUIT
28,wafer
28,ultra
28,tots
28,thighs
28,strip
28,so
28,kit
28,haddock
28,donuts
28,dairy
28,animal
27,starch
27,popcorn
27,philly
27,on
27,lime
27,granulated
27,gpa
27,gauze
27,fries
27,cola
27,apron
27,CORN
26,su
26,sprout
26,spike
26,shells
26,pickle
26,packet
26,meatloaf
26,lorna
26,is
26,hinged
26,cole
26,cheesecake
26,cheerios
26,TOAST
26,Sausage
26,POTATO
26,PATTY
26,FRENCH
25,urinals
25,stir
25,quarter
25,fryer
25,clear
25,cali
25,buffet
25,barrier
25,angel
25,ORANGE
25,Beef
24,wafers
24,tray
24,parker
24,kind
24,gowns
24,eclair
24,drain
24,comet
24,coke
24,chic
24,cal
24,YOGURT
24,EGG
23,tip
23,shake
23,scout
23,ouzo
23,nut
23,none
23,mayonnaise
23,mac
23,large
23,kleine
23,hair
23,free
23,e
23,basil
23,almond
23,TOMATO
23,SHERBET
23,PEACHES
22,to
22,sync
22,seasoning
22,nap
22,key
22,hairnet
22,ferrous
22,disc
22,detergent
22,deodorant
22,containers
22,PAPER
22,Milk
22,LIQUID
22,Ground
22,COTTAGE
22,COCKTAIL
22,Broccoli
21,tot
21,tortilla
21,stick
21,sponge
21,slip
21,shed
21,plate
21,ointment
21,hand
21,goldfish
21,cost
21,chili
21,brush
21,bowl
21,TEA
21,SALAD
21,ROLL
21,Pork
21,PEARS
21,Liquid
21,Cream
21,BEAN
20,wedges
20,up
20,unfit
20,skin
20,season
20,scrambled
20,ritz
20,ricotta
20,promo
20,pinko
20,pas
20,nuggets
20,horn
20,guard
20,granola
20,emotion
20,cure
20,cock
20,chick
20,TURKEY
20,SPINACH
20,NAPKIN
20,Biscuit
20,Banana
19,wipe
19,vitamin
19,tart
19,spag
19,smoked
19,sand
19,plastic
19,pen
19,flat
19,cannula
19,brief
19,breaded
19,au
19,Tomato
19,E
18,ziti
18,zinc
18,urinal
18,tips
18,sulfate
18,spread
18,short
18,shave
18,sandwich
18,saltines
18,saddle
18,polyethylene
18,phase
18,paprika
18,nugget
18,much
18,mob
18,hamburgers
18,had
18,gratin
18,gown
18,glucose
18,facial
18,cutlet
18,cornstarch
18,coat
18,choc
18,carr
18,butternut
18,butt
18,blueberries
18,biz
18,bake
18,antifungal
18,PEACH
18,ONION
18,NECTAR
18,GARLIC
17,winter
17,we
17,thicken
17,sub
17,sourdough
17,sidewinder
17,ribs
17,refried
17,pouch
17,penne
17,mask
17,in
17,grilled
17,germ
17,dry
17,done
17,crumb
17,crinkle
17,coco
17,chopped
17,car
17,blackberry
17,bana
17,avocado
17,TARTAR
17,PAN
17,Mayo
17,MEATBALLS
17,Cheese
17,BUTTER
16,zoo
16,upp
16,stuffed
16,split
16,snap
16,sad
16,rounds
16,quit
16,piston
16,pilaf
16,peri
16,medium
16,mango
16,jello
16,distilled
16,dic
16,crust
16,corned
16,cookie
16,chum
16,caesar
16,body
16,bath
16,JELLY
16,Cottage
16,COPY
16,BASE
15,you
15,sprite
15,safety
15,pureed
15,prince
15,pine
15,pad
15,mint
15,mat
15,lunch
15,knife
15,iced
15,grill
15,glycol
15,frozen
15,cur
15,cheerio
15,ca
15,brisket
15,bib
15,assorted
15,ad
15,acidophilus
15,White
15,PEAS
15,OATMEAL
15,Marinara
15,Creamer
15,APPLESAUCE
15,APPLE
14,zip
14,washbasin
14,total
14,tape
14,swap
14,silk
14,sharp
14,refresh
14,random
14,ran
14,puffs
14,pouches
14,perineal
14,peeled
14,pal
14,mush
14,mini
14,melon
14,lett
14,island
14,into
14,herb
14,he
14,got
14,gelatin
14,fork
14,feeding
14,demi
14,chub
14,canola
14,burgers
14,benz
14,auto
14,as
14,aerosol
14,TILAPIA
14,Sour
14,Peaches
14,PEANUT
14,OIL
14,Garlic
14,CUPS
14,CORNBREAD
13,wow
13,washcloths
13,van
13,un
13,tiramisu
13,teaspoon
13,ross
13,raspberry
13,pumpkin
13,paste
13,nutty
13,nutritional
13,liver
13,lays
13,isolation
13,ical
13,evaporated
13,dixie
13,dirt
13,dash
13,cordon
13,compartment
13,comp
13,cloth
13,chowder
13,brussels
13,briefs
13,breakfast
13,bope
13,baking
13,STRAWS
13,SLICED
13,Rice
13,Ranch
13,Lettuce
13,KLEENEX
13,JAM
13,GROUND
13,GRITS
13,CUP
13,COLESLAW
12,vital
12,underpaid
12,two
12,three
12,squat
12,shelled
12,shakes
12,senna
12,rid
12,release
12,pull
12,pretzel
12,plates
12,ores
12,needle
12,nec
12,lidocaine
12,lance
12,jack
12,hasta
12,flank
12,cookies
12,cheez
12,cereal
12,caulk
12,cant
12,boost
12,bars
12,aloe
12,ZUCCHINI
12,YAM
12,WHEAT
12,WATERMELON
12,WATER
12,Turkey
12,Tilapia
12,Tea
12,TUNA
12,Spinach
12,POT
12,PINEAPPLE
12,PANCAKES
12,Orange
12,MIX
12,MEATBALL
12,LEMONADE
12,Juice
12,Grits
12,Fruit
12,French
12,Carrots
12,Brown
12,Bread
12,Apple
11,zu
11,wound
11,wiped
11,walnut
11,tortellini
11,spikes
11,solitaire
11,sole
11,slices
11,san
11,rinse
11,raw
11,protein
11,oxide
11,guest
11,gran
11,ez
11,deli
11,cubed
11,crusher
11,crunch
11,cover
11,cooked
11,check
11,bottled
11,born
11,bob
11,beer
11,bari
11,asp
11,WIPES
11,TROPICAL
11,SUGAR
11,STRIPS
11,Potato
11,PANCAKE
11,Nectar
11,LETTUCE
11,Ham
11,HONEY
11,DINNER
11,CHOP
11,CARROT
11,CABBAGE
11,BANANA
11,AS
10,wing
10,trop
10,tent
10,super
10,sticks
10,spin
10,soda
10,sister
10,russet
10,ruffles
10,provolone
10,poly
10,plus
10,pillow
10,pico
10,no
10,newton
10,needles
10,mom
10,man
10,low
10,krispies
10,kits
10,jasmine
10,instant
10,equal
10,denture
10,crumbs
10,crisp
10,cornflakes
10,cornflake
10,cleanser
10,citrus
10,chef
10,cheetos
10,caramel
10,calcium
10,cab
10,broth
10,brioche
10,bis
10,bed
10,bac
10,aspirin
10,apex
10,ap
10,TISSUE
10,SPOONS
10,RAVIOLI
10,PEAR
10,PAM
10,Onion
10,MELATONIN
10,MAYO
10,LOIN
10,Jelly
10,HOT
10,EGGS
10,CUCUMBER
10,BUN
10,BREAST
10,ASPARAGUS
10,A
9,y
9,wrap
9,triple
9,trim
9,tri
9,til
9,sweetener
9,string
9,sponges
9,saw
9,sales
9,root
9,rig
9,raisins
9,pub
9,panda
9,pack
9,net
9,navy
9,nasal
9,montreal
9,mighty
9,major
9,lentil
9,lamb
9,kid
9,if
9,greek
9,gallon
9,eye
9,excel
9,eggplant
9,dogs
9,dart
9,crushed
9,count
9,cleaner
9,chucks
9,california
9,calf
9,bulked
9,browns
9,breeze
9,boston
9,alfredo
9,adult
9,Zucchini
9,YAMS
9,Tissue
9,TOMATOES
9,Sherbet
9,SOUR
9,ROAST
9,Pears
9,PIE
9,NAPKINS
9,LANCET
9,ITALIAN
9,Honey
9,HAMBURGER
9,Coffee
9,CRANBERRY
9,COFFEE
9,CAKE
9,Beans
9,APPLES
8,whipping
8,west
8,trout
8,toothbrush
8,thyme
8,terms
8,tapioca
8,supplement
8,suction
8,stuffing
8,sirloin
8,shoulder
8,sher
8,scan
8,sa
8,roma
8,radish
8,purely
8,puppies
8,procure
8,prism
8,pond
8,ounce
8,ofa
8,odor
8,mouth
8,minestrone
8,mars
8,mar
8,maple
8,lynch
8,lor
8,lo
8,last
8,kidney
8,kaiser
8,jumbo
8,itch
8,inside
8,ibuprofen
8,gold
8,gel
8,fu
8,flores
8,fillet
8,esta
8,creme
8,covers
8,copier
8,cone
8,coin
8,chuck
8,chives
8,canadian
8,bye
8,ball
8,bad
8,ass
8,antiseptic
8,all
8,airline
8,WHITE
8,SALISBURY
8,Placemat
8,Pie
8,POWDER
8,POLLOCK
8,PINTO
8,OMELET
8,Napkins
8,Meatballs
8,Meatball
8,MUFFIN
8,MARGARINE
8,MAGIC
8,Egg
8,DANISH
8,Celery
8,CUR
8,CHIPS
8,CAULIFLOWER
8,Asparagus
7,yukon
7,wiper
7,turk
7,triangle
7,trays
7,translucent
7,tofu
7,thrive
7,teriyaki
7,teaspoons
7,tears
7,sip
7,sheets
7,romain
7,quarters
7,pitcher
7,piece
7,pens
7,oriental
7,omen
7,oasis
7,multi
7,mousse
7,moist
7,label
7,kernel
7,hydrocortisone
7,hugs
7,grand
7,grain
7,folders
7,eng
7,emesis
7,dome
7,decade
7,crush
7,cous
7,con
7,collars
7,cold
7,bowtie
7,boneless
7,bev
7,berries
7,basmati
7,basins
7,barrel
7,ban
7,bagels
7,artichoke
7,arthritis
7,aprons
7,Yogurt
7,Yams
7,Wheat
7,Waffles
7,TOPPING
7,Sauce
7,Roll
7,ROLLS
7,RANCH
7,Pan
7,Pam
7,PEPPER
7,Napkin
7,Mandarin
7,MASHED
7,MARINARA
7,MANDARIN
7,Ketchup
7,ICE
7,GRAVY
7,Flour
7,Dinner
7,DOG
7,Corn
7,Copy
7,Carrot
7,Capri
7,CRACKER
7,Butter
7,BROWNIE
7,BROWN
7,Applesauce
6,wings
6,walk
6,vase
6,tulip
6,trail
6,tortillas
6,toasted
6,tar
6,taco
6,tac
6,sup
6,sundae
6,spear
6,soft
6,snapper
6,slider
6,size
6,set
6,scramble
6,scone
6,salami
6,roasted
6,repair
6,quiche
6,pur
6,probe
6,pro
6,pretzels
6,pickled
6,petite
6,oven
6,olives
6,old
6,nebulizer
6,nab
6,muscle
6,muff
6,miss
6,me
6,marshmallow
6,marathon
6,mandarins
6,lyons
6,loaf
6,light
6,kangaroo
6,irrigation
6,iron
6,icing
6,ibm
6,hop
6,homie
6,grease
6,get
6,fuel
6,for
6,flush
6,flavor
6,flaked
6,feta
6,evac
6,deliver
6,cumin
6,cuban
6,crystal
6,croissants
6,creamy
6,couscous
6,complete
6,combs
6,coca
6,chewable
6,chew
6,cath
6,cap
6,canister
6,bum
6,balls
6,baker
6,artificial
6,apricot
6,antibiotic
6,ahoy
6,YELLOW
6,Watermelon
6,Water
6,WAFFLE
6,Tuna
6,Texas
6,THIGH
6,TATER
6,Sugar
6,Sliced
6,SYRUP
6,STEAK
6,SPRAY
6,SLICE
6,Roast
6,Pineapple
6,Peanut
6,Paper
6,Pancakes
6,PRUNE
6,POTATOES
6,PADS
6,Oatmeal
6,NOODLE
6,MED
6,Lemon
6,LEMON
6,KETCHUP
6,Half
6,FRY
6,FRESH
6,FLOUR
6,FILM
6,ELBOW
6,Danish
6,DICE
6,Cucumber
6,Cranberry
6,Coleslaw
6,Cauliflower
6,Cabbage
6,COCOA
6,CHIP
6,Bun
6,BRAN
6,BLEACH
